id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
4dGJf1SER1T6ooX46vwzRB,0.713,0.114,169.864,0.0417,0.645,0.0,4,0.566,6,238147,-4.25,0.807,1,audio_features,spotify:track:4dGJf1SER1T6ooX46vwzRB
5uaTGZyDMK1iZ9eW1qeBEX,0.546,0.0845,159.929,0.0297,0.492,0.0,4,0.416,7,300333,-7.728,0.418,1,audio_features,spotify:track:5uaTGZyDMK1iZ9eW1qeBEX
5AhDb4oM6f4YmHPXW123Fg,0.308,0.104,85.917,0.0274,0.69,0.0,4,0.568,5,190000,-13.063,0.721,1,audio_features,spotify:track:5AhDb4oM6f4YmHPXW123Fg
5GEs6KYkV9bzN4HZr6rcRQ,0.58,0.116,89.559,0.0741,0.76,0.0,4,0.556,11,181640,-9.661,0.491,1,audio_features,spotify:track:5GEs6KYkV9bzN4HZr6rcRQ
6MUWzkb4V0AKw3yDHxlYcV,0.948,0.138,166.103,0.0859,0.00108,0.000245,3,0.415,10,291040,-3.486,0.369,0,audio_features,spotify:track:6MUWzkb4V0AKw3yDHxlYcV
1fWY9zNdDuEz8hpALBcqVI,0.547,0.0523,121.003,0.0593,0.000202,0.035,4,0.862,8,337593,-7.019,0.96,0,audio_features,spotify:track:1fWY9zNdDuEz8hpALBcqVI
779ooI3rBd0CLqCiiJmtVo,0.843,0.179,147.387,0.0364,0.00216,0.0,3,0.427,4,200480,-4.54,0.304,1,audio_features,spotify:track:779ooI3rBd0CLqCiiJmtVo
3SYXYXcMXnCDaA1HaZ4S0R,0.397,0.308,112.888,0.0367,0.749,0.012,4,0.546,9,261120,-12.064,0.342,0,audio_features,spotify:track:3SYXYXcMXnCDaA1HaZ4S0R
1DWUUzVWT6g22ZYe3I9nQO,0.758,0.14,117.071,0.0492,0.036,0.0,4,0.669,0,210078,-6.713,0.819,1,audio_features,spotify:track:1DWUUzVWT6g22ZYe3I9nQO
0w162IsthpsFmwyHuZS7Nx,0.895,0.143,129.972,0.0921,0.00221,5.04e-05,4,0.592,1,250053,-2.192,0.633,1,audio_features,spotify:track:0w162IsthpsFmwyHuZS7Nx
